37	37	38	37	38	37	37	37	38	38	38	37	38	38	37	37	37	38	37	38	37	38	37	38	37	38	37	38	37	59
14	14	14	14	14	10	2	9	14	14	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
1	1	1	1	1	1	1	1	1	4	11	0	25	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	27
13	13	8	2	7	8	2	7	8	2	11	0	12	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27
21	14	10	2	11	12	2	11	12	2	11	0	12	2	7	13	13	13	13	13	8	2	7	13	13	13	13	13	13	27
30	1	1	2	11	12	2	9	10	2	9	14	10	2	9	14	14	24	34	35	12	2	11	45	46	0	45	46	0	27
30	13	8	2	11	12	5	1	1	1	1	1	1	1	1	1	4	9	43	44	10	2	9	54	55	14	54	55	14	27
30	0	12	2	11	16	13	8	2	7	13	13	13	13	13	8	2	1	1	1	1	1	1	1	1	1	1	1	1	27
30	0	12	2	11	0	0	12	2	11	17	0	0	0	17	12	2	7	13	13	13	13	13	13	13	13	8	2	11	27
30	17	12	2	11	0	0	12	2	22	26	0	0	0	26	12	2	11	17	0	17	17	0	0	0	0	12	2	11	27
30	26	12	2	11	0	0	12	2	31	0	0	0	0	0	12	2	11	26	17	26	26	0	17	17	0	12	2	11	27
30	0	12	2	11	0	0	12	2	9	14	14	14	24	0	12	2	11	0	26	0	0	17	26	26	0	12	2	11	27
30	0	23	2	11	47	48	12	2	1	1	1	4	11	17	12	2	11	17	0	0	0	26	0	0	17	12	2	11	27
30	0	32	2	11	56	57	12	2	7	13	8	2	11	26	12	2	11	26	40	41	42	0	45	46	26	12	2	11	27
30	0	12	2	11	65	66	12	2	11	17	12	2	11	0	12	2	9	14	49	50	51	14	54	55	14	10	2	11	27
30	17	12	2	9	74	75	10	2	11	26	12	2	11	17	12	5	1	1	1	1	1	1	1	1	4	33	2	11	27
30	26	12	2	1	1	1	1	2	11	0	12	2	11	26	16	13	8	2	7	13	13	13	13	8	2	33	2	11	27
30	0	12	2	7	13	13	8	2	11	17	12	2	11	0	0	17	12	2	11	18	19	20	21	12	2	33	2	11	27
30	0	23	2	22	0	0	23	2	11	26	12	2	11	17	0	26	12	2	11	27	29	29	30	12	2	33	2	11	27
30	0	32	2	31	0	0	32	2	11	0	12	2	11	26	17	0	12	2	11	27	28	29	30	12	2	1	6	11	27
30	0	12	2	11	0	0	12	2	11	17	12	2	11	0	26	0	12	2	11	27	29	29	30	12	2	7	13	15	27
30	17	12	2	22	0	0	23	2	11	26	12	2	11	0	0	0	12	2	11	36	37	38	39	12	2	11	0	0	27
30	26	12	2	31	45	46	32	2	11	0	12	2	9	14	14	14	10	2	9	14	14	24	0	12	2	11	0	0	27
30	0	12	2	9	54	55	10	2	11	17	12	2	1	1	1	1	1	1	1	1	4	11	17	12	2	11	0	0	27
30	0	23	2	1	1	1	1	2	11	26	12	2	7	13	13	13	13	13	13	8	2	11	26	12	2	9	14	24	27
30	0	32	2	7	13	13	8	2	9	14	10	2	11	0	0	0	0	0	0	12	2	9	14	10	2	1	4	11	36
30	0	12	2	11	0	0	12	5	1	1	1	6	11	18	19	20	19	20	21	12	5	1	1	1	6	33	2	9	14
30	17	12	2	11	0	0	16	13	13	13	13	13	15	27	29	29	29	29	30	16	13	13	13	13	13	8	5	1	1
30	26	12	2	11	0	0	0	0	0	0	0	0	0	27	29	29	29	29	30	0	0	0	0	0	0	16	13	13	13
60	19	20	20	19	20	19	20	20	19	20	20	19	20	61	29	29	29	29	60	19	20	19	20	20	20	19	19	20	61
